Date and Time,Temperature,FAA Count
2025-03-16 AM,24.7,
2025-03-16 PM,26.8,
2025-03-17 AM,25.2,
2025-03-17 PM,25.3,
2025-03-18 AM,24.3,
2025-03-18 PM,25.5,
2025-03-19 AM,25.1,
2025-03-19 PM,25,
2025-03-20 AM,25.3,
2025-03-20 PM,27,
2025-03-21 AM,23.3,
2025-03-21 PM,24.5,
2025-03-22 AM,23.2,
2025-03-22 PM,25,
2025-03-23 AM,22.1,
2025-03-23 PM,24,
2025-03-24 AM,22.3,
2025-03-24 PM,23,
2025-03-25 AM,23.3,
2025-03-25 PM,25.7,
2025-03-26 AM,24.7,
2025-03-26 PM,24.5,
2025-03-27 AM,25,
2025-03-27 PM,24.5,
2025-03-28 AM,25,
2025-03-28 PM,25,
2025-03-29 AM,25.7,
2025-03-29 PM,25,
2025-03-30 AM,25,
2025-03-30 PM,24.3,
